assists,gamesPlayed,gamesStarted,goalieFullName,goals,goalsAgainst,goalsAgainstAverage,lastName,losses,otLosses,penaltyMinutes,playerId,points,savePct,saves,seasonId,shootsCatches,shotsAgainst,shutouts,teamAbbrevs,timeOnIce,wins,season,completeGamePct,completeGames,goalsFor,goalsForAverage,incompleteGames,qualityStart,qualityStartsPct,regulationLosses,regulationWins,shotsAgainstPer60,season_year,name_key,heightInInches,weightInPounds,birthCity,birthCountry,draftYear,draftRound,draftOverall,player_name_cw,team_cw,position_cw,cap_hit
0,3,1,Calvin Pickard,0,9,4.29822,Pickard,1,0,0,8475717,0,0.875,63,20212022,L,72,0,DET,7538,1,20212022,1.0,1,9,4.29822,0,1,1.0,1,0,34.385793,2022,calvin pickard,73,206,Moncton,CAN,2010.0,2.0,19.0,,,,
0,2,2,Maxime Lagace,0,10,6.11413,Lagace,1,0,0,8476509,0,0.82758,48,20212022,L,58,0,TBL,5888,1,20212022,0.5,1,6,3.66847,1,0,0.0,1,1,35.461968,2022,maxime lagace,74,190,Saint-Augustin,CAN,,,,,,,
0,2,2,Louis Domingue,0,4,2.02105,Domingue,1,0,0,8475839,0,0.9518,79,20212022,R,83,0,PIT,7125,1,20212022,1.0,2,2,1.01052,0,2,1.0,1,1,41.936856,2022,louis domingue,75,207,St-Hyacinthe,CAN,2010.0,5.0,18.0,Louis Domingue,NYR,G,775000.0
0,4,3,Zach Fucale,0,5,1.74842,Fucale,1,1,0,8477457,0,0.92424,61,20212022,L,66,1,WSH,10295,1,20212022,0.666666,2,6,2.0981,1,2,0.666666,1,1,23.079166,2022,zach fucale,74,189,Laval,CAN,2013.0,2.0,6.0,,,,
0,1,1,Magnus Hellberg,0,3,3.0,Hellberg,0,0,0,8476433,0,0.86956,20,20212022,L,23,0,DET,3600,1,20212022,1.0,1,5,5.0,0,0,0.0,0,1,23.0,2022,magnus hellberg,78,206,Uppsala,SWE,2011.0,2.0,8.0,Magnus Hellberg,DET,G,750000.0
0,4,3,Lukas Dostal,0,10,2.9784,Dostal,2,0,0,8480843,0,0.9074,98,20212022,L,108,0,ANA,12087,1,20212022,1.0,3,6,1.78704,0,2,0.666666,2,0,32.16679,2022,lukas dostal,74,190,Brno,CZE,2018.0,3.0,23.0,Lukas Dostal,ANA,G,822500.0
1,2,2,Joel Hofer,0,6,3.07298,Hofer,1,0,0,8480981,1,0.88,44,20212022,L,50,0,STL,7029,1,20212022,1.0,2,7,3.58514,0,0,0.0,1,1,25.608194,2022,joel hofer,77,193,Winnipeg,CAN,2018.0,4.0,14.0,,,,
1,2,1,Justus Annunen,0,7,4.34033,Annunen,0,1,0,8481020,1,0.86274,44,20212022,L,51,0,COL,5806,1,20212022,1.0,1,8,4.96038,0,0,0.0,1,1,31.622474,2022,justus annunen,76,210,Kempele,FIN,2018.0,3.0,2.0,,,,
0,3,3,Connor Ingram,0,11,3.71308,Ingram,2,0,0,8478971,0,0.87912,80,20212022,L,91,0,NSH,10665,1,20212022,1.0,3,11,3.71308,0,1,0.333333,2,1,30.717299,2022,connor ingram,73,218,Saskatoon,CAN,2016.0,3.0,27.0,Connor Ingram,ARI,G,733333.0
0,5,5,Carey Price,0,18,3.63025,Price,4,0,0,8471679,0,0.87837,130,20212022,L,148,0,MTL,17850,1,20212022,1.0,5,16,3.22689,0,2,0.4,4,1,29.848741,2022,carey price,75,217,Anahim Lake,CAN,2005.0,1.0,5.0,Carey Price,MTL,G,10500000.0
0,2,1,Garret Sparks,0,3,1.85153,Sparks,0,0,0,8476343,0,0.93617,44,20212022,L,47,0,LAK,5833,1,20212022,1.0,1,5,3.08589,0,1,1.0,0,1,29.007385,2022,garret sparks,75,220,Elmhurst,USA,2011.0,7.0,9.0,,,,
0,1,1,Keith Kinkaid,0,2,2.0,Kinkaid,0,0,0,8476234,0,0.93548,29,20212022,L,31,0,NYR,3600,1,20212022,1.0,1,3,3.0,0,1,1.0,0,1,31.0,2022,keith kinkaid,74,195,Farmingville,USA,,,,,,,
0,12,9,Cayden Primeau,0,40,4.62234,Primeau,7,1,0,8480051,0,0.86754,262,20212022,L,302,0,MTL,31153,1,20212022,0.444444,4,15,1.73338,5,3,0.333333,8,0,34.898726,2022,cayden primeau,75,205,Farmington Hills,USA,2017.0,7.0,13.0,,,,
0,12,9,Aaron Dell,0,38,4.03266,Dell,8,1,2,8477180,0,0.89265,316,20212022,L,354,0,BUF,33923,1,20212022,0.888888,8,25,2.65306,1,2,0.222222,9,1,37.567434,2022,aaron dell,72,213,Airdrie,CAN,,,,,,,
0,2,2,Alex Lyon,0,6,2.93119,Lyon,0,1,0,8479312,0,0.90769,59,20212022,L,65,0,CAR,7369,1,20212022,1.0,2,6,2.93119,0,1,0.5,1,1,31.754654,2022,alex lyon,73,199,Baudette,USA,,,,Alex Lyon,FLA,G,750000.0
0,1,1,Cory Schneider,0,3,3.0,Schneider,0,0,0,8471239,0,0.9,27,20212022,L,30,0,NYI,3600,1,20212022,1.0,1,4,4.0,0,0,0.0,0,1,30.0,2022,cory schneider,75,214,Marblehead,USA,2004.0,1.0,26.0,,,,
0,2,2,Mads Sogaard,0,6,3.06905,Sogaard,1,0,0,8481544,0,0.88888,48,20212022,L,54,0,OTT,7038,1,20212022,1.0,2,8,4.09207,0,1,0.5,1,1,27.621483,2022,mads sogaard,79,231,Aalborg,DNK,2019.0,2.0,6.0,,,,
0,4,4,Tuukka Rask,0,14,4.27807,Rask,2,0,2,8471695,0,0.84444,76,20212022,L,90,0,BOS,11781,2,20212022,0.75,3,10,3.05576,1,2,0.5,2,2,27.501909,2022,tuukka rask,75,176,Savonlinna,FIN,2005.0,1.0,21.0,,,,
